Locus;# individuals;# haplotypes;bp;# polymorphic sites;polymorphic sites (% );# transitions;# transversions;# ambiguous bases in alignment;ambiguos bases (%);Nucleotide diversity;? (Watterson);?? (pairwise);Tajima's D
L239;23;23;1213;19;1.57;16;3;54;0.19;0.003;5.1479;3.6364;-1.0752
L247;23;23;1829;19;1.04;13;6;15;0.04;0.0016;5.1479;2.8538;-1.6319
L273;23;23;1830;19;1.04;13;6;19;0.05;0.0022;5.1479;4.0435;-0.7856
L284;23;23;1770;19;1.07;14;5;66;0.16;0.0028;5.1479;4.8814;-0.1896
L315;23;23;1142;19;1.66;15;4;36;0.14;0.0038;5.1479;4.3123;-0.5944
L374;23;23;1665;19;1.14;15;5;17;0.04;0.0017;5.1479;2.834;-1.6459
L392;23;23;648;19;2.93;18;2;45;0.3;0.0053;5.1479;3.4071;-1.2383
L61;23;23;1691;19;1.12;12;7;12;0.03;0.0012;5.1479;2.1107;-2.1604
L75;23;23;1694;19;1.12;17;2;40;0.1;0.0016;5.1479;2.6917;-1.7471
L314;20;20;537;18;3.35;18;2;40;0.37;0.0102;5.0737;5.4684;0.2927
L232;22;22;829;18;2.17;16;2;11;0.06;0.0038;4.9378;3.1126;-1.3598
L63;22;22;1647;18;1.09;11;7;39;0.11;0.0014;4.9378;2.3377;-1.9371
L117;23;23;1152;18;1.56;11;7;29;0.11;0.0026;4.877;2.9881;-1.4104
L141;23;23;1342;18;1.34;16;2;17;0.06;0.0017;4.877;2.336;-1.8974
L179;23;23;1649;18;1.09;15;3;24;0.06;0.0012;4.877;2;-2.1483
L243;23;23;960;18;1.88;13;5;50;0.23;0.0046;4.877;4.4545;-0.3154
L270;23;23;1274;18;1.41;13;5;21;0.07;0.002;4.877;2.5573;-1.7321
L299;23;23;1534;18;1.17;15;3;22;0.06;0.0017;4.877;2.5336;-1.7498
L362;23;23;996;18;1.81;14;4;87;0.38;0.0034;4.877;3.3557;-1.1359
L375;23;23;1797;18;1;15;3;15;0.04;0.0021;4.877;3.6838;-0.891
L48;23;23;1732;18;1.04;12;6;17;0.04;0.0014;4.877;2.4229;-1.8325
L62;23;23;1682;18;1.07;14;4;11;0.03;0.0018;4.877;3.0198;-1.3868
L170;19;19;785;17;2.17;15;2;21;0.14;0.0043;4.8639;3.3684;-1.1649
L116;21;21;1714;17;0.99;11;6;15;0.04;0.0017;4.7252;2.8381;-1.4764
L32;21;21;767;17;2.22;14;3;17;0.11;0.004;4.7252;3.0571;-1.305
L93;22;22;1496;17;1.14;12;5;16;0.05;0.0016;4.6635;2.4589;-1.7286
L14;23;23;1689;17;1.01;7;10;23;0.06;0.002;4.606;3.3597;-0.9794
L183;23;23;1752;17;0.97;13;4;18;0.04;0.0017;4.606;2.9802;-1.2776
L21;23;23;1787;17;0.95;11;6;24;0.06;0.0013;4.606;2.336;-1.7839
L228;23;23;1525;17;1.11;13;4;34;0.1;0.0023;4.606;3.4862;-0.88
L335;23;23;1100;17;1.55;11;6;18;0.07;0.0027;4.606;2.9447;-1.3056
L39;23;23;1061;17;1.6;11;6;24;0.1;0.0017;4.606;1.8261;-2.1846
L52;23;23;1766;17;0.96;15;2;18;0.04;0.0013;4.606;2.2609;-1.8429
L148;20;20;1101;16;1.45;12;5;26;0.12;0.0036;4.5099;3.9421;-0.4679
L292;22;22;1746;16;0.92;13;3;14;0.04;0.0014;4.3891;2.5238;-1.5437
L107;23;23;548;16;2.92;16;0;26;0.21;0.0055;4.3351;3.0198;-1.0908
L113;23;23;1489;16;1.07;12;4;16;0.05;0.0022;4.3351;3.2767;-0.8778
L139;23;23;1989;16;0.8;14;2;18;0.04;0.001;4.3351;2.0435;-1.9005
L204;23;23;901;16;1.78;12;4;15;0.07;0.0027;4.3351;2.415;-1.5924
L293;23;23;1335;16;1.2;11;5;32;0.1;0.0034;4.3351;4.5929;0.2138
L33;23;23;1063;16;1.51;10;7;14;0.06;0.0029;4.3351;3.0632;-1.0548
L345;23;23;491;16;3.26;11;5;35;0.31;0.0081;4.3351;3.9802;-0.2943
L46;23;23;1727;16;0.93;11;5;13;0.03;0.0014;4.3351;2.4743;-1.5432
L127;22;22;1790;15;0.84;11;5;15;0.04;0.0016;4.1148;2.8398;-1.1172
L149;22;22;1471;15;1.02;9;6;35;0.11;0.0015;4.1148;2.1991;-1.6786
L236;22;22;875;15;1.71;7;8;44;0.23;0.0027;4.1148;2.381;-1.5193
L68;22;22;1738;15;0.86;11;4;16;0.04;0.0016;4.1148;2.8225;-1.1324
L118;23;23;974;15;1.54;13;2;44;0.2;0.0037;4.0641;3.6364;-0.3756
L120;23;23;1240;15;1.21;11;4;18;0.06;0.0011;4.0641;1.3439;-2.3883
L207;23;23;895;15;1.68;14;1;34;0.17;0.0023;4.0641;2.087;-1.7359
L373;23;23;1679;15;0.89;13;2;36;0.09;0.0013;4.0641;2.166;-1.6665
L406;23;23;1700;15;0.88;10;5;20;0.05;0.0019;4.0641;3.2332;-0.7295
L211;20;20;1846;14;0.76;11;3;15;0.04;0.0012;3.9462;2.2895;-1.5368
L377;20;20;1605;14;0.87;13;1;27;0.08;0.0013;3.9462;2.0316;-1.7761
L300;22;22;1194;14;1.17;9;5;20;0.08;0.0019;3.8405;2.3247;-1.4113
L123;23;23;1334;14;1.05;8;6;26;0.08;0.002;3.7932;2.6522;-1.0643
L132;23;23;1337;14;1.05;9;5;17;0.06;0.001;3.7932;1.3913;-2.2403
L140;23;23;1273;14;1.1;12;2;54;0.18;0.0016;3.7932;1.9763;-1.6947
L180;23;23;726;14;1.93;11;3;5;0.03;0.0028;3.7932;2.0593;-1.6173
L213;23;23;1765;14;0.79;13;1;11;0.03;0.001;3.7932;1.7312;-1.9233
L249;23;23;1583;14;0.88;11;3;11;0.03;0.0012;3.7932;1.9447;-1.7242
L268;23;23;1724;14;0.81;10;4;47;0.12;0.0013;3.7932;2.2609;-1.4293
L352;23;23;1405;14;1;10;4;90;0.28;0.0019;3.7932;2.7352;-0.9869
L397;23;23;1799;14;0.78;11;3;18;0.04;0.0011;3.7932;1.9763;-1.6947
L42;23;23;1665;14;0.84;12;2;17;0.04;0.0012;3.7932;1.9447;-1.7242
L49;23;23;1287;14;1.09;7;7;10;0.03;0.0015;3.7932;1.9881;-1.6836
L73;23;23;1697;14;0.82;9;5;17;0.04;0.0014;3.7932;2.3518;-1.3445
L96;23;23;1597;14;0.88;9;5;34;0.09;0.0013;3.7932;2.0237;-1.6505
L177*;20;20;936;13;1.39;11;2;12;0.06;0.0028;3.6643;2.5842;-1.0692
L253;20;20;540;13;2.41;10;3;6;0.06;0.0048;3.6643;2.5789;-1.0744
L388;21;21;701;13;1.85;9;4;23;0.16;0.0032;3.6134;2.2381;-1.3637
L209;22;22;1728;13;0.75;11;2;23;0.06;0.0014;3.5662;2.4372;-1.1213
L15;23;23;1214;13;1.07;12;1;12;0.04;0.0014;3.5223;1.6443;-1.8684
L161;23;23;1209;13;1.08;7;6;38;0.14;0.0028;3.5223;3.4229;-0.0988
L185;23;23;1289;13;1.01;8;5;14;0.05;0.0014;3.5223;1.7747;-1.7386
L23;23;23;1790;13;0.73;12;1;39;0.09;0.0009;3.5223;1.5455;-1.9667
L244;23;23;1782;13;0.73;11;2;25;0.06;0.001;3.5223;1.8459;-1.6678
L296;23;23;1044;13;1.25;8;5;31;0.13;0.0031;3.5223;3.2134;-0.3072
L322;23;23;1780;13;0.73;11;2;17;0.04;0.0009;3.5223;1.5375;-1.9745
L337;23;23;842;13;1.54;9;4;15;0.08;0.0021;3.5223;1.7352;-1.7779
L363;23;23;905;13;1.44;8;5;9;0.04;0.0016;3.5223;1.4743;-2.0374
L372;23;23;1191;13;1.09;10;3;17;0.06;0.0015;3.5223;1.751;-1.7622
L379;23;23;1705;13;0.76;12;1;48;0.12;0.002;3.5223;3.4585;-0.0634
L16;21;21;1785;12;0.67;10;2;9;0.02;0.0007;3.3354;1.2048;-2.2645
L267;22;22;1803;12;0.67;8;4;11;0.03;0.001;3.2919;1.8485;-1.5363
L162;23;23;1686;12;0.71;9;3;25;0.06;0.0012;3.2513;2;-1.3339
L17;23;23;1712;12;0.7;10;2;21;0.05;0.001;3.2513;1.6364;-1.7215
L190;23;23;1381;12;0.87;12;0;20;0.06;0.0018;3.2513;2.4387;-0.8662
L258;23;23;1052;12;1.14;10;2;10;0.04;0.0014;3.2513;1.4506;-1.9196
L418;23;23;1551;12;0.77;9;3;23;0.06;0.0019;3.2513;2.9289;-0.3437
L72;23;23;830;12;1.45;9;3;42;0.22;0.0019;3.2513;1.6166;-1.7426
L150;23;23;1637;11;0.67;6;5;21;0.06;0.001;2.9804;1.6838;-1.4888
L215;23;23;1732;11;0.64;9;2;17;0.04;0.001;2.9804;1.747;-1.4162
L27;23;23;1730;11;0.64;8;3;25;0.06;0.0008;2.9804;1.3992;-1.8156
L318;23;23;1534;11;0.72;9;2;18;0.05;0.0016;2.9804;2.4387;-0.6219
L245;21;21;831;10;1.2;7;3;24;0.14;0.0021;2.7795;1.7143;-1.3228
L288;23;23;765;10;1.31;7;3;35;0.2;0.0025;2.7094;1.9407;-0.9567
L416;23;23;1696;10;0.59;5;5;8;0.02;0.0012;2.7094;1.9526;-0.9419
L205*;21;21;549;9;1.64;7;3;6;0.05;0.002;2.5016;1.1048;-1.8948
L333;23;23;821;9;1.1;8;1;9;0.05;0.0016;2.4385;1.3083;-1.5356
L389;21;21;927;8;0.86;8;0;19;0.1;0.0013;2.2236;1.2048;-1.5234
L415;22;22;1377;8;0.58;4;4;12;0.04;0.0007;2.1946;0.9567;-1.8517
L264;23;23;651;8;1.23;2;5;17;0.11;0.0013;2.1675;0.8459;-1.9782
L20*;21;21;792;7;0.88;6;1;379;2.28;0.0029;1.9457;2.2762;0.5508
L26;21;21;742;7;0.94;4;3;3;0.02;0.0017;1.9457;1.2714;-1.1235
L420;21;21;493;7;1.42;3;4;23;0.22;0.0021;1.9457;1.0476;-1.4964
L119;22;22;652;7;1.07;7;1;9;0.06;0.0014;1.9203;0.9394;-1.6346
L38;23;23;705;7;0.99;2;5;19;0.12;0.0015;1.8966;1.0395;-1.4286
L378;20;20;478;6;1.26;3;3;58;0.61;0.002;1.6912;0.9789;-1.3422
L98;21;21;478;6;1.26;3;3;2;0.02;0.0016;1.6677;0.7429;-1.7419
L212*;23;23;438;6;1.37;6;0;288;2.86;0.0027;1.6257;1.1818;-0.8355
L261;22;22;1772;5;0.28;2;3;17;0.04;0.0004;1.3716;0.6753;-1.5088
L262;22;22;1224;5;0.41;3;2;15;0.06;0.0005;1.3716;0.645;-1.5745
L272;23;23;983;5;0.51;5;0;6;0.03;0.0015;1.3547;1.4862;0.2847
L29;20;20;953;4;0.42;2;2;7;0.04;0.0005;1.1275;0.4737;-1.6787
L317;23;23;1629;4;0.25;1;3;53;0.14;0.0003;1.0838;0.4071;-1.7296
L24;22;22;483;3;0.62;3;1;6;0.06;0.0023;0.823;1.1039;0.883
